	EXPECTED RUN COUNT	run-1	run-2	run-3	run-4
sub-001	4	1	1	1	1
sub-002	4	1	1	1	1
sub-003	4	1	1	1	1
sub-004	4	1	1	1	1
sub-005	2	1	1	0	0
sub-006	4	1	1	1	1
sub-007	4	1	1	1	1
sub-008	4	1	1	1	1
sub-009	4	1	1	1	1
sub-010	4	1	1	1	1
sub-011	4	1	1	1	1
sub-012	4	1	1	1	1
sub-013	3	1	0	1	1
sub-014	4	1	1	1	1
sub-015	3	1	1	1	0
sub-016	4	1	1	1	1
sub-017	4	1	1	1	1
sub-018	4	1	1	1	1
sub-019	4	1	1	1	1
sub-020	4	1	1	1	1
sub-021	4	1	1	1	1
sub-022	4	1	1	1	1
sub-024	4	1	1	1	1
sub-025	4	1	1	1	1
sub-026	4	1	1	1	1
sub-027	4	1	1	1	1
sub-028	4	1	1	1	1
sub-029	4	1	1	1	1
sub-030	3	1	1	1	0
sub-031	4	1	1	1	1
sub-032	4	1	1	1	1
sub-033	4	1	1	1	1
sub-034	4	1	1	1	1
sub-035	3	1	1	1	0
sub-036	3	1	1	1	0
sub-037	4	1	1	1	1
sub-038	4	1	1	1	1
sub-039	3	1	1	1	0
sub-040	4	1	1	1	1
sub-041	4	1	1	1	1
sub-042	4	1	1	1	1
sub-043	4	1	1	1	1
sub-044	4	1	1	1	1
sub-045	4	1	1	1	1
sub-046	4	1	1	1	1
sub-047	4	1	1	1	1
sub-048	4	1	1	1	1
sub-050	4	1	1	1	1
sub-051	4	1	1	1	1
sub-052	4	1	1	1	1
sub-053	3	1	1	1	0
sub-054	4	1	1	1	1
sub-055	4	1	1	1	1
sub-056	4	1	1	1	1
sub-057	4	1	1	1	1
sub-058	4	1	1	1	1
sub-059	4	1	1	1	1
sub-060	4	1	1	1	1
sub-061	4	1	1	1	1
sub-062	4	1	1	1	1
sub-063	4	1	1	1	1
sub-064	4	1	1	1	1
sub-066	4	1	1	1	1
sub-067	4	1	1	1	1
sub-068	4	1	1	1	1
sub-069	4	1	1	1	1
sub-070	4	1	1	1	1
sub-071	4	1	1	1	1
sub-072	4	1	1	1	1
sub-073	4	1	1	1	1
sub-074	4	1	1	1	1
sub-075	4	1	1	1	1
sub-076	4	1	1	1	1
sub-077	4	1	1	1	1
sub-078	4	1	1	1	1
sub-079	4	1	1	1	1
sub-080	4	1	1	1	1
sub-081	4	1	1	1	1
sub-082	4	1	1	1	1
sub-083	4	1	1	1	1
sub-084	4	1	1	1	1
sub-085	4	1	1	1	1
sub-086	3	1	1	1	0
sub-087	4	1	1	1	1
sub-088	4	1	1	1	1
sub-089	4	1	1	1	1
sub-090	4	1	1	1	1
