	RUN1_TRIALS_CT	RUN2_TRIALS_CT	RUN3_TRIALS_CT	RUN4_TRIALS_CT	TOTAL_RUNS_CT	TOTAL_TRIALS_CT
sub-001	23	24	26	23	4	96
sub-002	22	25	26	26	4	99
sub-003	25	26	26	26	4	103
sub-004	24	26	26	25	4	101
sub-005	25	26	0	0	2	51
sub-006	24	26	26	26	4	102
sub-007	24	22	24	25	4	95
sub-009	23	23	25	20	4	91
sub-010	24	26	26	26	4	102
sub-011	24	26	25	0	3	75
sub-012	22	25	25	26	4	98
sub-013	25	0	26	0	2	51
sub-014	25	25	26	25	4	101
sub-015	25	0	26	0	2	51
sub-016	22	25	23	22	4	92
sub-017	21	26	26	26	4	99
sub-018	24	26	26	26	4	102
sub-019	25	26	25	26	4	102
sub-020	25	26	26	25	4	102
sub-021	22	24	20	24	4	90
sub-022	23	24	26	25	4	98
sub-024	21	16	12	16	4	65
sub-025	25	25	25	26	4	101
sub-026	22	23	25	26	4	96
sub-027	23	25	26	25	4	99
sub-028	24	25	26	26	4	101
sub-029	23	24	22	23	4	92
sub-030	24	26	26	0	3	76
sub-031	23	22	26	26	4	97
sub-032	24	25	26	26	4	101
sub-033	26	23	25	0	3	74
sub-034	24	26	25	25	4	100
sub-035	26	25	0	0	2	51
sub-036	25	25	0	0	2	50
sub-037	24	26	26	26	4	102
sub-038	25	26	26	26	4	103
sub-039	25	26	24	0	3	75
sub-040	24	26	26	16	4	92
sub-041	25	25	26	0	3	76
sub-042	25	26	25	26	4	102
sub-043	25	22	22	26	4	95
sub-044	22	10	0	0	2	32
sub-045	24	26	24	25	4	99
sub-046	22	22	24	22	4	90
sub-047	25	26	26	0	3	77
sub-048	25	26	26	26	4	103
sub-050	0	0	26	26	2	52
sub-052	16	24	25	0	3	65
sub-053	0	22	25	22	3	69
sub-054	26	26	26	26	4	104
sub-055	23	26	25	0	3	74
sub-056	25	24	26	26	4	101
sub-057	22	7	0	0	2	29
sub-058	20	25	26	26	4	97
sub-059	25	0	26	24	3	75
sub-060	24	26	24	25	4	99
sub-061	24	26	26	25	4	101
sub-062	24	5	0	0	2	29
sub-063	25	26	26	26	4	103
sub-064	24	26	26	26	4	102
sub-066	21	0	0	0	1	21
sub-067	21	0	0	0	1	21
sub-068	23	0	0	0	1	23
sub-069	21	1	0	0	2	22
sub-070	21	0	0	0	1	21
sub-071	21	0	0	0	1	21
sub-072	21	0	0	0	1	21
sub-073	22	0	0	0	1	22
sub-074	23	26	26	0	3	75
sub-075	21	0	0	0	1	21
sub-076	23	0	0	0	1	23
sub-077	21	0	0	0	1	21
sub-078	24	25	26	0	3	75
sub-079	22	0	0	0	1	22
sub-080	23	0	0	0	1	23
sub-081	23	25	25	0	3	73
sub-082	25	0	0	0	1	25
sub-083	24	0	0	0	1	24
sub-084	24	0	0	0	1	24
sub-085	25	0	0	0	1	25
sub-086	24	0	0	0	1	24
sub-087	24	25	26	0	3	75
sub-088	23	23	23	0	3	69
sub-089	24	0	0	0	1	24
sub-090	19	0	0	0	1	19
